"","statistic","p.value","parameter","method","p_BH","significant"
"X55856_484.217_7.206_NA",8.61324687947615,0.196525308434414,6,"Kruskal-Wallis rank sum test",0.400809354931739,"Nonsignificant"
"X75477_292.3_9.818_NA",8.60873746674861,0.196807311102172,6,"Kruskal-Wallis rank sum test",0.401294476909834,"Nonsignificant"
"X57405_359.185_7.42_NA",8.60786781256388,0.196861735357509,6,"Kruskal-Wallis rank sum test",0.401315447953021,"Nonsignificant"
"X86510_366.321_11.113_NA",8.6037502832166,0.197119588515195,6,"Kruskal-Wallis rank sum test",0.401647457892414,"Nonsignificant"
"X47331_388.248_6.109_NA",8.60364231634946,0.197126353576669,6,"Kruskal-Wallis rank sum test",0.401647457892414,"Nonsignificant"
"X24447_374.181_4.217_NA",8.6031512175158,0.197157127647805,6,"Kruskal-Wallis rank sum test",0.401647457892414,"Nonsignificant"
"X49400_318.069_6.452_NA",8.6019777215402,0.197230679625611,6,"Kruskal-Wallis rank sum test",0.401663929037783,"Nonsignificant"
"X54917_356.206_7.089_NA",8.60126611418048,0.197275292754221,6,"Kruskal-Wallis rank sum test",0.401663929037783,"Nonsignificant"
"X58998_370.222_7.518_NA",8.60090802128093,0.197297746049575,6,"Kruskal-Wallis rank sum test",0.401663929037783,"Nonsignificant"
"X44594_544.291_5.937_NA",8.5949662369552,0.197670624370446,6,"Kruskal-Wallis rank sum test",0.402332956520281,"Nonsignificant"
"X4739_306.169_2.075_NA",8.59224217311237,0.19784177186947,6,"Kruskal-Wallis rank sum test",0.402591179462224,"Nonsignificant"
"X15310_350.196_3.421_NA",8.59060517700016,0.197944681019944,6,"Kruskal-Wallis rank sum test",0.402710458678303,"Nonsignificant"
"X74264_483.273_9.667_NA;DG(16:1/0:0/16:1); [M+NH4]+ C35H68N1O5",8.58904235727437,0.198042969106333,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X41898_302.211_5.722_NA",8.58795784735003,0.198111199691835,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X44243_323.148_5.898_NA",8.58666871291177,0.198192329688313,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X91313_153.138_12.628_NA",8.5864422287816,0.198206586057178,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X89770_1000.287_12.114_NA;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",8.58617110102151,0.198223653717552,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X91483_833.526_12.688_NA;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",8.58551258440764,0.198265112892484,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X89484_928.598_12.041_NA",8.58546142827902,0.198268333907451,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X76002_343.19_9.879_NA",8.58454061796601,0.198326319701607,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X8551_168.065_2.676_NA",8.58422089216288,0.198346456992916,6,"Kruskal-Wallis rank sum test",0.402716834966411,"Nonsignificant"
"X42329_338.268_5.727_NA",8.58174749334978,0.198502297179341,6,"Kruskal-Wallis rank sum test",0.402912601134852,"Nonsignificant"
"X87322_540.464_11.314_NA",8.58071413955383,0.198567435660672,6,"Kruskal-Wallis rank sum test",0.402912601134852,"Nonsignificant"
"X70634_327.008_9.263_NA",8.58058113361972,0.198575821126845,6,"Kruskal-Wallis rank sum test",0.402912601134852,"Nonsignificant"
"X91188_881.444_12.594_NA",8.57854307496194,0.198704349409607,6,"Kruskal-Wallis rank sum test",0.403083432581917,"Nonsignificant"
"X62017_241.143_7.953_NA",8.57669071004705,0.198821227744239,6,"Kruskal-Wallis rank sum test",0.403230560484189,"Nonsignificant"
"X52726_413.966_6.817_NA",8.5729034810624,0.199060369694362,6,"Kruskal-Wallis rank sum test",0.403625531057347,"Nonsignificant"
"X1185_328.748_0.694_NA",8.56726889209198,0.199416609210488,6,"Kruskal-Wallis rank sum test",0.404257705895597,"Nonsignificant"
"X47874_377.195_6.333_NA",8.56557959893598,0.199523516867047,6,"Kruskal-Wallis rank sum test",0.404305150602308,"Nonsignificant"
"X53323_254.19_6.889_NA",8.56549377260666,0.199528949708816,6,"Kruskal-Wallis rank sum test",0.404305150602308,"Nonsignificant"
"X88423_512.415_11.661_NA;Spectral Match to Nonaethylene glycol from NIST14",8.56473637993881,0.199576898361858,6,"Kruskal-Wallis rank sum test",0.404312201405084,"Nonsignificant"
"X89839_756.481_12.127_NA",8.56158564831488,0.199776467264605,6,"Kruskal-Wallis rank sum test",0.404626340024457,"Nonsignificant"
"X37628_309.169_5.333_NA",8.56074278698588,0.199829882926289,6,"Kruskal-Wallis rank sum test",0.404644386540272,"Nonsignificant"
"X7204_393.175_2.501_NA",8.55896255371397,0.199942743206108,6,"Kruskal-Wallis rank sum test",0.40478277025828,"Nonsignificant"
"X89214_1236.357_11.952_NA",8.55705413312644,0.200063789535511,6,"Kruskal-Wallis rank sum test",0.404798348106839,"Nonsignificant"
"X30301_267.159_4.674_NA",8.55684213218751,0.200077240019842,6,"Kruskal-Wallis rank sum test",0.404798348106839,"Nonsignificant"
"X89822_475.414_12.123_NA",8.55671650198356,0.200085211036652,6,"Kruskal-Wallis rank sum test",0.404798348106839,"Nonsignificant"
"X9395_335.16_2.915_NA;""methyl 2-amino-6-(hydroxymethyl)-8-oxo-4-(3-pyridyl)-4H-pyrano[3,2-b]pyran-3-c arboxylate CollisionEnergy:102040""",8.55603386535711,0.200128527798091,6,"Kruskal-Wallis rank sum test",0.404798348106839,"Nonsignificant"
"X92258_699.595_13.012_NA",8.55525166569099,0.200178172019999,6,"Kruskal-Wallis rank sum test",0.404808705517312,"Nonsignificant"
"X91440_420.276_12.665_NA",8.55432525066499,0.200236982597973,6,"Kruskal-Wallis rank sum test",0.404837590789586,"Nonsignificant"
"X90543_854.507_12.338_NA;TAG (18:3/18:4/18:5)",8.55239410681395,0.200359621897351,6,"Kruskal-Wallis rank sum test",0.404911824105313,"Nonsignificant"
"X82276_513.386_10.576_NA",8.55234456235526,0.200362769099186,6,"Kruskal-Wallis rank sum test",0.404911824105313,"Nonsignificant"
"X87667_659.385_11.403_NA",8.54540042209978,0.200804290890863,6,"Kruskal-Wallis rank sum test",0.40571391395105,"Nonsignificant"
"X86418_502.389_11.094_NA",8.5443988818631,0.200868038069751,6,"Kruskal-Wallis rank sum test",0.405752544352406,"Nonsignificant"
"X36936_323.148_5.336_NA",8.54318600368322,0.200945259461397,6,"Kruskal-Wallis rank sum test",0.405777250756631,"Nonsignificant"
"X45193_229.122_5.991_NA",8.54280489052587,0.200969529273769,6,"Kruskal-Wallis rank sum test",0.405777250756631,"Nonsignificant"
"X9250_254.175_2.756_NA",8.54053355842029,0.201114221851816,6,"Kruskal-Wallis rank sum test",0.405891140986443,"Nonsignificant"
"X83375_834.615_10.702_NA",8.53991968487833,0.201153342953433,6,"Kruskal-Wallis rank sum test",0.405891140986443,"Nonsignificant"
"X64271_468.978_8.312_NA",8.5398173726212,0.201159863757689,6,"Kruskal-Wallis rank sum test",0.405891140986443,"Nonsignificant"
"X15916_254.159_3.575_NA",8.5340116192835,0.201530180253696,6,"Kruskal-Wallis rank sum test",0.406481454485421,"Nonsignificant"
"X56915_247.133_7.444_NA",8.5332719459791,0.201577400909165,6,"Kruskal-Wallis rank sum test",0.406481454485421,"Nonsignificant"
"X40143_314.159_5.596_NA",8.53312870881939,0.201586546224677,6,"Kruskal-Wallis rank sum test",0.406481454485421,"Nonsignificant"
"X36577_207.159_5.24_NA",8.53128307647216,0.201704416120121,6,"Kruskal-Wallis rank sum test",0.406628947087393,"Nonsignificant"
"X40404_446.202_5.568_NA",8.52716134642924,0.201967855904419,6,"Kruskal-Wallis rank sum test",0.407069772973393,"Nonsignificant"
"X18746_289.154_3.691_NA",8.52288725189271,0.202241338630872,6,"Kruskal-Wallis rank sum test",0.407530640698556,"Nonsignificant"
"X20922_260.149_3.912_NA;NCGC00347546-02_C19H28O3_5,9-Dimethyl-14-oxotetracyclo[11.2.1.0~1,10~.0~4,9~]hexadecane-5-carboxylic acid",8.52068498056076,0.202382374559733,6,"Kruskal-Wallis rank sum test",0.407724473631086,"Nonsignificant"
"X88151_587.228_11.366_NA",8.5187231430325,0.202508082249916,6,"Kruskal-Wallis rank sum test",0.407887346879981,"Nonsignificant"
"X23848_277.118_4.164_NA;Spectral Match to L-Phenylalanine, N-acetyl- from NIST14",8.51800695723341,0.202553989232736,6,"Kruskal-Wallis rank sum test",0.407889450742865,"Nonsignificant"
"X91160_757.224_12.596_NA",8.51429199786761,0.202792255348297,6,"Kruskal-Wallis rank sum test",0.408204840689469,"Nonsignificant"
"X9190_360.223_2.945_NA",8.51357900785955,0.202838011192126,6,"Kruskal-Wallis rank sum test",0.408204840689469,"Nonsignificant"
"X66080_305.247_8.424_NA",8.51346543800567,0.202845300289818,6,"Kruskal-Wallis rank sum test",0.408204840689469,"Nonsignificant"
"X89401_700.598_11.998_NA",8.50989216772436,0.203074750669176,6,"Kruskal-Wallis rank sum test",0.408550233241864,"Nonsignificant"
"X17974_329.142_3.55_NA",8.50931041538774,0.203112127298726,6,"Kruskal-Wallis rank sum test",0.408550233241864,"Nonsignificant"
"X42213_381.191_5.723_NA",8.50869398403927,0.203151738284917,6,"Kruskal-Wallis rank sum test",0.408550233241864,"Nonsignificant"
"X71023_265.179_9.349_NA;Cembrane_Diterpene_plus_CHO",8.50771178637206,0.203214866252791,6,"Kruskal-Wallis rank sum test",0.408586812023525,"Nonsignificant"
"X90259_997.309_12.269_NA;Contaminant vial septum ThermoFisher C5000-44B",8.50482213730853,0.203400685519504,6,"Kruskal-Wallis rank sum test",0.408870005028373,"Nonsignificant"
"X73874_571.289_9.65_NA;15-formyl-16-hydroxy-1,2,14,17,17-pentamethyl-8-(prop-1-en-2-yl)pentacyclo[11.7.0.0�,�?.0?,?.0�?,�?]icosane-5-carboxylic acid",8.50070595457339,0.203665622863966,6,"Kruskal-Wallis rank sum test",0.409312078487882,"Nonsignificant"
"X70695_391.211_9.274_NA",8.49486392469805,0.204042139989885,6,"Kruskal-Wallis rank sum test",0.409938795919632,"Nonsignificant"
"X70376_428.264_9.231_NA",8.49397998918813,0.204099160089101,6,"Kruskal-Wallis rank sum test",0.409938795919632,"Nonsignificant"
"X62829_329.174_8.193_NA",8.4934289952937,0.204134709843321,6,"Kruskal-Wallis rank sum test",0.409938795919632,"Nonsignificant"
"X6921_278.123_2.467_NA",8.49307090239415,0.204157816533666,6,"Kruskal-Wallis rank sum test",0.409938795919632,"Nonsignificant"
"X87115_593.275_11.252_Pheophorbide A",8.48859985676279,0.204446504379967,6,"Kruskal-Wallis rank sum test",0.410403229067946,"Nonsignificant"
"X45630_486.233_6.032_NA",8.48809085328423,0.204479391517575,6,"Kruskal-Wallis rank sum test",0.410403229067946,"Nonsignificant"
"X56524_444.213_7.288_NA",8.48577345461442,0.204629176521154,6,"Kruskal-Wallis rank sum test",0.410613214065402,"Nonsignificant"
"X34772_412.196_5.085_NA",8.4836684059751,0.204765315829773,6,"Kruskal-Wallis rank sum test",0.410795730698211,"Nonsignificant"
"X76621_381.263_9.949_NA",8.48275015346837,0.20482472548244,6,"Kruskal-Wallis rank sum test",0.410824267391648,"Nonsignificant"
"X7372_266.102_2.525_NA",8.48045580110499,0.204973229885932,6,"Kruskal-Wallis rank sum test",0.410943473371774,"Nonsignificant"
"X68744_479.263_8.985_NA",8.48043533865359,0.20497455474494,6,"Kruskal-Wallis rank sum test",0.410943473371774,"Nonsignificant"
"X1506_330.863_0.747_NA",8.47922038060165,0.205053231085389,6,"Kruskal-Wallis rank sum test",0.411010576946288,"Nonsignificant"
"X92021_1005.241_12.926_NA",8.47598004740314,0.205263186975987,6,"Kruskal-Wallis rank sum test",0.411340730876279,"Nonsignificant"
"X38965_237.185_5.45_NA",8.47433130586029,0.205370085398666,6,"Kruskal-Wallis rank sum test",0.411464261005878,"Nonsignificant"
"X59187_371.184_7.702_NA",8.47025782688763,0.205634394557827,6,"Kruskal-Wallis rank sum test",0.411812648695606,"Nonsignificant"
"X87025_509.15_11.175_NA",8.47025526908112,0.205634560611312,6,"Kruskal-Wallis rank sum test",0.411812648695606,"Nonsignificant"
"X64414_423.201_8.327_NA",8.46813996316757,0.205771925216429,6,"Kruskal-Wallis rank sum test",0.411877134671047,"Nonsignificant"
"X89267_510.487_11.977_NA;Cer(d18:1/18:1); [M+H]+ C36H70N1O3",8.46811990017176,0.205773228442548,6,"Kruskal-Wallis rank sum test",0.411877134671047,"Nonsignificant"
"X19975_472.181_3.868_NA",8.46766676897892,0.205802664189459,6,"Kruskal-Wallis rank sum test",0.411877134671047,"Nonsignificant"
"X52073_256.133_6.744_NCGC00170025-02!N-(1-hydroxy-3-phenylpropan-2-yl)benzamide [IIN-based: Match]",8.46257417638628,0.206133724945392,6,"Kruskal-Wallis rank sum test",0.41232502429705,"Nonsignificant"
"X68040_361.2_8.874_NA",8.46242070800088,0.206143708566053,6,"Kruskal-Wallis rank sum test",0.41232502429705,"Nonsignificant"
"X17478_341.123_3.52_NA",8.46213167587473,0.206162512148525,6,"Kruskal-Wallis rank sum test",0.41232502429705,"Nonsignificant"
"X79056_881.465_10.207_NA",8.45773480662979,0.206448736310503,6,"Kruskal-Wallis rank sum test",0.412806666051262,"Nonsignificant"
"X23688_506.316_4.152_NA;[(2R,3R,4R,5R)-2-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl] 4-hydroxy-2-methoxy-6-methylbenzoate",8.45521792510738,0.206612727744071,6,"Kruskal-Wallis rank sum test",0.412960552759578,"Nonsignificant"
"X86114_500.373_11.053_NA",8.45515948168098,0.206616537010924,6,"Kruskal-Wallis rank sum test",0.412960552759578,"Nonsignificant"
"X86092_472.268_11.037_NA",8.45384540727808,0.206702202165518,6,"Kruskal-Wallis rank sum test",0.412994222310096,"Nonsignificant"
"X31191_406.258_4.782_NA",8.4529644976468,0.206759645701056,6,"Kruskal-Wallis rank sum test",0.412994222310096,"Nonsignificant"
"X2507_291.154_1.114_NA",8.4528110292614,0.206769654636555,6,"Kruskal-Wallis rank sum test",0.412994222310096,"Nonsignificant"
"X87849_985.236_11.461_NA;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",8.45130792826661,0.206867705602012,6,"Kruskal-Wallis rank sum test",0.413099314591148,"Nonsignificant"
"X91885_765.584_12.873_NA",8.44964278943117,0.206976372017066,6,"Kruskal-Wallis rank sum test",0.413150901088789,"Nonsignificant"
"X7683_205.097_2.569_Spectral Match to L-Tryptophan from NIST14",8.4488336402701,0.20702919403019,6,"Kruskal-Wallis rank sum test",0.413150901088789,"Nonsignificant"
"X1628_233.051_0.835_NA",8.44882340904428,0.207029862006217,6,"Kruskal-Wallis rank sum test",0.413150901088789,"Nonsignificant"
"X59862_267.159_7.681_NA;Methyl Jasmonate (Mixiture of isomers) CollisionEnergy:102040",8.44309392265188,0.207404211298155,6,"Kruskal-Wallis rank sum test",0.413807129498097,"Nonsignificant"
"X22877_384.165_4.003_NA",8.4407995702885,0.207554276470189,6,"Kruskal-Wallis rank sum test",0.414015682682528,"Nonsignificant"
"X9217_322.164_2.753_NA",8.43978923675047,0.207620387410761,6,"Kruskal-Wallis rank sum test",0.41405671470468,"Nonsignificant"
"X72705_304.299_9.507_NA",8.43671831783386,0.207821440158455,6,"Kruskal-Wallis rank sum test",0.414366783754533,"Nonsignificant"
"X74591_200.143_9.722_NA",8.43520308983011,0.207920701813397,6,"Kruskal-Wallis rank sum test",0.414445812704331,"Nonsignificant"
"X24287_358.149_4.076_NA",8.43427204829129,0.207981713388085,6,"Kruskal-Wallis rank sum test",0.414445812704331,"Nonsignificant"
"X16869_294.133_3.539_NA",8.43364027010432,0.208023122604543,6,"Kruskal-Wallis rank sum test",0.414445812704331,"Nonsignificant"
"X17250_386.144_3.622_NA",8.43333077552688,0.20804341060081,6,"Kruskal-Wallis rank sum test",0.414445812704331,"Nonsignificant"
"X69244_291.159_9.11_NA;(1S,5R,9S,13R)-14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0¹,¹�?�.0�?�,�?�]hexadec-14-ene-5-carboxylic acid",8.43113106200121,0.208187653834397,6,"Kruskal-Wallis rank sum test",0.414642310769406,"Nonsignificant"
"X73094_373.2_9.517_NA",8.42081031307555,0.208865537095132,6,"Kruskal-Wallis rank sum test",0.415901327916983,"Nonsignificant"
"X76969_730.53_9.981_NA",8.41984857785963,0.208928799019292,6,"Kruskal-Wallis rank sum test",0.415936203346487,"Nonsignificant"
"X6644_265.118_2.349_NA",8.41667689789233,0.209137541965614,6,"Kruskal-Wallis rank sum test",0.416178979440326,"Nonsignificant"
"X71715_307.19_9.53_NA",8.41648250460401,0.209150341539274,6,"Kruskal-Wallis rank sum test",0.416178979440326,"Nonsignificant"
"X70350_502.301_9.198_NA",8.41590955596484,0.209188070396204,6,"Kruskal-Wallis rank sum test",0.416178979440326,"Nonsignificant"
"X63563_449.216_8.204_NA",8.4124820953549,0.209413888273374,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X51195_247.133_6.649_NA",8.41196797626344,0.209447778467471,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X74344_302.159_9.689_NA",8.4115715162676,0.209473915817278,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X65684_305.21_8.512_NA",8.41108041743405,0.20950629617341,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X34544_295.153_5.089_NA",8.41088602414561,0.209519114549719,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X29805_439.159_4.666_NA",8.41020053202385,0.209564321407117,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X69058_223.169_9.046_NA;Spectral Match to Diethyl phthalate from NIST14",8.40933087783912,0.209621685084187,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X65730_571.235_8.526_NA",8.40915438919581,0.209633328132848,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X53457_369.227_6.906_NA",8.40877583384497,0.209658303445563,6,"Kruskal-Wallis rank sum test",0.416294670217746,"Nonsignificant"
"X78410_215.143_10.124_NA;1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene",8.40532023736455,0.20988640215145,6,"Kruskal-Wallis rank sum test",0.416656586978381,"Nonsignificant"
"X3272_263.102_1.568_NA",8.40324074074067,0.210023766172825,6,"Kruskal-Wallis rank sum test",0.416796961847894,"Nonsignificant"
"X92361_372.347_13.06_NA",8.40286190343334,0.210048798854713,6,"Kruskal-Wallis rank sum test",0.416796961847894,"Nonsignificant"
"X9426_351.155_2.888_NA",8.40032484141602,0.210216506013655,6,"Kruskal-Wallis rank sum test",0.416950723048964,"Nonsignificant"
"X86546_536.576_11.131_NA",8.4003021508402,0.210218006429438,6,"Kruskal-Wallis rank sum test",0.416950723048964,"Nonsignificant"
"X798_250.18_0.654_NA",8.39543431553102,0.210540098554352,6,"Kruskal-Wallis rank sum test",0.417498489870483,"Nonsignificant"
"X90252_549.414_12.271_NA",8.3927377524545,0.210718699936653,6,"Kruskal-Wallis rank sum test",0.417761539429579,"Nonsignificant"
"X57359_398.311_7.395_NA",8.39189303775374,0.210774673831911,6,"Kruskal-Wallis rank sum test",0.417781411484573,"Nonsignificant"
"X37815_341.159_5.346_NA",8.38991201145893,0.210905992442791,6,"Kruskal-Wallis rank sum test",0.417881013604022,"Nonsignificant"
"X47431_293.138_6.232_NA",8.38974831184771,0.210916846835554,6,"Kruskal-Wallis rank sum test",0.417881013604022,"Nonsignificant"
"X88352_439.357_11.643_NA",8.38762564298304,0.211057636254354,6,"Kruskal-Wallis rank sum test",0.418008284799618,"Nonsignificant"
"X80619_458.326_10.37_NA",8.38686310620017,0.211108231817539,6,"Kruskal-Wallis rank sum test",0.418008284799618,"Nonsignificant"
"X92310_830.591_13.04_NA",8.38670067741709,0.211119010536719,6,"Kruskal-Wallis rank sum test",0.418008284799618,"Nonsignificant"
"X81065_537.339_10.424_NA",8.38595475077858,0.211168515856326,6,"Kruskal-Wallis rank sum test",0.418015272407078,"Nonsignificant"
"X53725_428.255_6.944_NA",8.38440761203196,0.211271226446667,6,"Kruskal-Wallis rank sum test",0.418127555692881,"Nonsignificant"
"X90527_832.522_12.37_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",8.38083978172717,0.211508244021629,6,"Kruskal-Wallis rank sum test",0.418484244448706,"Nonsignificant"
"X67023_556.405_8.717_NA",8.38019234704325,0.211551278006588,6,"Kruskal-Wallis rank sum test",0.418484244448706,"Nonsignificant"
"X16981_330.154_3.609_NA",8.37961684059758,0.21158953714592,6,"Kruskal-Wallis rank sum test",0.418484244448706,"Nonsignificant"
"X51702_215.128_6.7_NA;Spectral Match to Sebacic acid monomethyl ester from NIST14",8.3786042566115,0.211656866767897,6,"Kruskal-Wallis rank sum test",0.418512195548187,"Nonsignificant"
"X85878_471.346_11.003_NA",8.37783660732543,0.211707921850392,6,"Kruskal-Wallis rank sum test",0.418512195548187,"Nonsignificant"
"X68287_453.173_8.918_NA",8.37732788253099,0.21174176193595,6,"Kruskal-Wallis rank sum test",0.418512195548187,"Nonsignificant"
"X70373_514.394_9.241_NA;Brominated Phosphatidylcholine C24H47BrNO8 - putative - Functions on the acyl moity have unknown location",8.37421731123391,0.211948773224971,6,"Kruskal-Wallis rank sum test",0.418830307794269,"Nonsignificant"
"X86845_636.41_11.206_NA",8.37292847831443,0.212034595495193,6,"Kruskal-Wallis rank sum test",0.418872052931758,"Nonsignificant"
"X87524_457.367_11.39_NA",8.37146255371397,0.212132245263831,6,"Kruskal-Wallis rank sum test",0.418872052931758,"Nonsignificant"
"X14493_312.144_3.313_Domoic acid",8.37110701862071,0.212155934187611,6,"Kruskal-Wallis rank sum test",0.418872052931758,"Nonsignificant"
"X78704_361.273_10.162_NA;(4E,8E)-7-hydroxy-10-(hydroxymethyl)-4,8,11,15-tetramethylbicyclo[11.2.0]pentadeca-4,8,14-trien-6-one",8.37097401268682,0.212164796796216,6,"Kruskal-Wallis rank sum test",0.418872052931758,"Nonsignificant"
"X64043_319.153_8.273_NA",8.37044198895023,0.212200250308368,6,"Kruskal-Wallis rank sum test",0.418872052931758,"Nonsignificant"
"X89455_596.608_12.019_NA",8.36093258191819,0.2128347784075,6,"Kruskal-Wallis rank sum test",0.419992113400111,"Nonsignificant"
"X88451_384.383_11.692_NA;Spectral Match to Monoelaidin from NIST14",8.36049723756901,0.212863865049365,6,"Kruskal-Wallis rank sum test",0.419992113400111,"Nonsignificant"
"X81679_287.2_10.504_NA;(4E,8E)-7-hydroxy-10-(hydroxymethyl)-4,8,11,15-tetramethylbicyclo[11.2.0]pentadeca-4,8,14-trien-6-one",8.35986290157553,0.212906252822383,6,"Kruskal-Wallis rank sum test",0.419992113400111,"Nonsignificant"
"X78821_267.122_10.174_NA",8.35825659914053,0.213013620963532,6,"Kruskal-Wallis rank sum test",0.420063465897726,"Nonsignificant"
"X24164_246.133_4.196_NA",8.35793943114379,0.213034826358822,6,"Kruskal-Wallis rank sum test",0.420063465897726,"Nonsignificant"
"X38123_226.155_5.375_NA",8.35641547718174,0.213136740180598,6,"Kruskal-Wallis rank sum test",0.420173296123591,"Nonsignificant"
"X49829_414.212_6.574_NA",8.35502353181914,0.213229861361719,6,"Kruskal-Wallis rank sum test",0.420265748862074,"Nonsignificant"
"X84680_311.24_10.849_NA;NCGC00385110-01_C20H38O2_(2R)-1-(5-Hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyldecahydro-2-naphthalenol",8.3530182115818,0.213364076741822,6,"Kruskal-Wallis rank sum test",0.42042429222996,"Nonsignificant"
"X82513_353.268_10.695_NA;""(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",8.35203345610807,0.213430011761001,6,"Kruskal-Wallis rank sum test",0.42042429222996,"Nonsignificant"
"X11098_312.144_2.967_NA",8.35174953959483,0.213449024739716,6,"Kruskal-Wallis rank sum test",0.42042429222996,"Nonsignificant"
"X32184_337.164_4.867_NA",8.34753171679972,0.21373164448561,6,"Kruskal-Wallis rank sum test",0.420839154103154,"Nonsignificant"
"X84387_417.263_10.81_NA",8.34722478002857,0.213752223234532,6,"Kruskal-Wallis rank sum test",0.420839154103154,"Nonsignificant"
"X12509_372.186_3.12_NA",8.34592541436461,0.213839358159491,6,"Kruskal-Wallis rank sum test",0.420919559295539,"Nonsignificant"
"X12810_275.196_3.15_NA",8.34248533586475,0.214070190775327,6,"Kruskal-Wallis rank sum test",0.421282721759583,"Nonsignificant"
"X51500_291.195_6.677_NA",8.33754604051569,0.214401983890054,6,"Kruskal-Wallis rank sum test",0.421844370813324,"Nonsignificant"
"X53074_305.174_7.021_NA",8.33462246777162,0.214598573437325,6,"Kruskal-Wallis rank sum test",0.422139816030323,"Nonsignificant"
"X2612_292.154_1.169_NA",8.33310824636783,0.214700452863517,6,"Kruskal-Wallis rank sum test",0.422248868145165,"Nonsignificant"
"X1539_257.932_0.776_NA",8.32881228328628,0.214989711051257,6,"Kruskal-Wallis rank sum test",0.422716707255535,"Nonsignificant"
"X1411_490.652_0.724_NA",8.32819470022503,0.215031321057726,6,"Kruskal-Wallis rank sum test",0.422716707255535,"Nonsignificant"
"X75579_219.138_9.831_NA",8.323887354205,0.215321716668252,6,"Kruskal-Wallis rank sum test",0.423148747880285,"Nonsignificant"
"X7042_291.133_2.57_NA",8.3229077143443,0.215387808065122,6,"Kruskal-Wallis rank sum test",0.423148747880285,"Nonsignificant"
"X78586_688.52_10.227_NA",8.32286459222857,0.215390717684773,6,"Kruskal-Wallis rank sum test",0.423148747880285,"Nonsignificant"
"X90881_855.511_12.485_NA;TAG (18:3/18:4/18:5)",8.32104332159772,0.215513635768265,6,"Kruskal-Wallis rank sum test",0.423213441629429,"Nonsignificant"
"X81778_574.374_10.514_NA",8.32099728103463,0.21551674381261,6,"Kruskal-Wallis rank sum test",0.423213441629429,"Nonsignificant"
